g_force_x, g_force_y, g_force_z
-0.04539899, 0.12640986, -0.41075566
-0.066894144, 0.1840047, -0.3668202
-0.091773644, 0.22867194, -0.3451116
-0.053204324, 0.22037877, -0.3289826
0.020976834, 0.17668717, -0.3358123
0.0160985, 0.1574177, -0.36364928
-0.08055347, 0.1686379, -0.38779703
-0.16693048, 0.18668772, -0.42343935
-0.13497739, 0.1686379, -0.4300251
-0.018568156, 0.12811725, -0.43929392
0.037563168, 0.103725545, -0.45908168
-0.010518907, 0.11787278, -0.4637161
-0.087139234, 0.15936908, -0.4488067
-0.08591964, 0.17839454, -0.40221858
-0.020763408, 0.16936964, -0.37633294
0.009268833, 0.16571087, -0.3873092
-0.042715907, 0.17449187, -0.38389435
-0.110799134, 0.19595654, -0.40221858
-0.096164145, 0.19790792, -0.38121125
-0.021007322, 0.18522425, -0.37340593
0.0160985, 0.17132102, -0.40465775
-0.033447076, 0.16936964, -0.43051293
-0.10909174, 0.1840047, -0.4349034
-0.09299322, 0.15668596, -0.42685416
-0.010762825, 0.11933625, -0.45027018
-0.0053966567, 0.121531546, -0.45981342
-0.094212815, 0.16815008, -0.45319718
-0.15546638, 0.21989094, -0.43636695
-0.0954324, 0.225501, -0.39560238
0.008537085, 0.19985922, -0.38999227
0.022928169, 0.16961354, -0.41051176
-0.06347931, 0.16278394, -0.45319718
-0.13009906, 0.16424741, -0.4729849
-0.08909056, 0.14031309, -0.44734317
-0.010518907, 0.11958016, -0.43807435
-0.008567572, 0.1183606, -0.43222034
-0.08470006, 0.15278329, -0.4480749
-0.1308308, 0.19863966, -0.42929336
-0.08933448, 0.2257449, -0.39584628
-0.028568743, 0.24013597, -0.39828545
-0.033934902, 0.24428254, -0.412707
-0.088846646, 0.24403864, -0.4549046
-0.0968959, 0.21964693, -0.47493625
-0.04564291, 0.18302895, -0.47957066
-0.01759249, 0.15936908, -0.49566916
-0.06738198, 0.14421578, -0.50005966
-0.14473404, 0.15644205, -0.51740825
-0.13497739, 0.15131982, -0.484449
-0.05491174, 0.150832, -0.44514793
-0.028080907, 0.17790672, -0.40929216
-0.08787098, 0.23159887, -0.38828486
-0.13497739, 0.27748567, -0.39121184
-0.083480485, 0.2691926, -0.38950443
0.0031709168, 0.2276962, -0.41026786
-0.011982407, 0.19034648, -0.43246427
-0.11839105, 0.18985866, -0.47615585
-0.18281554, 0.20647544, -0.5046941
-0.105189055, 0.19790792, -0.5120116
-0.02905657, 0.19790792, -0.50225496
-0.01905599, 0.18717554, -0.4846929
-0.07713865, 0.17180884, -0.5115238
-0.095920235, 0.15058808, -0.4959131
-0.06250364, 0.15253937, -0.44856274
-0.05271649, 0.19229788, -0.41636577
-0.100554645, 0.22940367, -0.39974892
